incident year,reported month,region of origin,region of incident,country of origin,number of dead,minimum estimated number of missing,total number of dead and missing,number of survivors,number of females,number of males,number of children,cause of death,migration route,region of origin group,country of origin group,cause of death category,extracted country,latitude,longitude,skew transformation total number of dead and missing
2016,september,eastern africa (p),northern africa,unknown,1,0,1.0,0,0,0,0,violence,sahara desert crossing,eastern africa,mixed/unknown,violence and related causes,sudan,15.4558144,36.3787571,0.6931471805599453
2016,september,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,egypt,24.138269,33.026759,1.0986122886681096
2016,september,eastern africa (p),northern africa,unknown,1,0,1.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,sudan,17.6922271,33.9762492,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,25,0,25.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,27.68836,-99.2525,3.258096538021482
2016,september,southern asia,europe,afghanistan,1,0,1.0,0,0,1,0,violence,western balkans,southern asia,afghanistan,violence and related causes,greece,38.2490092,21.7105864,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.846033,-112.658867,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,drowning,us-mexico border crossing,latin america / caribbean,mixed/unknown,drowning and related causes,united states,28.703061,-100.510967,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.71405,-111.88878,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.73753,-111.92515,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.75668,-112.06646,0.6931471805599453
2016,september,northern africa,mediterranean,algeria,1,0,1.0,14,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",central mediterranean,northern africa,algeria,environmental conditions and accidents,tunisia,37.16257,9.1214544,0.6931471805599453
2016,september,eastern africa (p),northern africa,unknown,2,0,2.0,0,0,0,0,vehicle accident / death linked to hazardous transport,sahara desert crossing,eastern africa,mixed/unknown,environmental conditions and accidents,sudan,14.0316722,35.3417723,1.0986122886681096
2016,september,eastern africa (p),northern africa,unknown,3,0,3.0,0,0,0,0,mixed or unknown,sahara desert crossing,eastern africa,mixed/unknown,mixed or unknown,egypt,29.5001532,33.9979088,1.3862943611198906
2016,september,eastern africa (p),eastern africa,unknown,1,0,1.0,0,0,0,0,mixed or unknown,unknown,eastern africa,mixed/unknown,mixed or unknown,tanzania,-9.3095648,32.7689479,0.6931471805599453
2016,september,eastern africa (p),northern africa,unknown,7,0,7.0,0,0,0,0,"harsh environmental conditions / lack of adequate shelter, food, water",sahara desert crossing,eastern africa,mixed/unknown,environmental conditions and accidents,sudan,19.4022552,27.9053789,2.0794415416798357
2016,september,mixed,mediterranean,"egypt,eritrea,sudan,syrian arab republic",204,84,64.0,162,10,31,1,drowning,central mediterranean,mixed,mixed/unknown,drowning and related causes,egypt,31.4732818,30.3236402,4.174387269895637
2016,september,unknown,central america,congo,1,0,1.0,0,1,0,0,mixed or unknown,unknown,unknown,congo,mixed or unknown,nicaragua,11.1971661,-85.5140377,0.6931471805599453
2016,september,central america,central america,honduras,1,0,1.0,0,0,1,0,vehicle accident / death linked to hazardous transport,unknown,central america,honduras,environmental conditions and accidents,mexico,18.2681566,-95.8969461,0.6931471805599453
2016,september,caribbean,central america,haiti,1,0,1.0,0,0,1,0,sickness / lack of access to adequate healthcare,unknown,caribbean,haiti,health-related causes,costa rica,11.0970362,-85.6830116,0.6931471805599453
2016,september,caribbean,caribbean,cuba,5,15,20.0,3,2,3,0,drowning,caribbean to us,caribbean,cuba,drowning and related causes,united states,24.7132563,-81.1194852,3.044522437723423
2016,september,sub-saharan africa (p),western asia,unknown,1,0,1.0,0,0,0,0,vehicle accident / death linked to hazardous transport,unknown,sub-saharan africa,mixed/unknown,environmental conditions and accidents,saudi arabia,21.6688827,39.1538425,0.6931471805599453
2016,september,central america,north america,mexico,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,central america,mexico,mixed or unknown,united states,32.534017,-111.868567,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,1,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.534017,-111.868567,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,31.844233,-112.129717,0.6931471805599453
2016,september,eastern africa (p),eastern africa,unknown,1,0,1.0,0,0,0,0,sickness / lack of access to adequate healthcare,unknown,eastern africa,mixed/unknown,health-related causes,kenya,-0.4591034,39.6310758,0.6931471805599453
2016,september,eastern africa (p),eastern africa,unknown,1,0,1.0,0,0,0,0,violence,unknown,eastern africa,mixed/unknown,violence and related causes,somalia,2.7769832,45.4992664,0.6931471805599453
2016,september,eastern africa (p),eastern africa,unknown,1,0,1.0,0,0,0,0,sickness / lack of access to adequate healthcare,unknown,eastern africa,mixed/unknown,health-related causes,somalia,-0.3540976,42.5278184,0.6931471805599453
2016,september,eastern africa,western asia,ethiopia,1,0,1.0,0,0,1,0,vehicle accident / death linked to hazardous transport,horn of africa to yemen crossing,eastern africa,ethiopia,environmental conditions and accidents,yemen,15.3597416,49.7064001,0.6931471805599453
2016,september,northern africa,europe,sudan,1,0,1.0,0,0,1,0,vehicle accident / death linked to hazardous transport,english channel to the uk,northern africa,sudan,environmental conditions and accidents,france,50.9518803,1.8339367,0.6931471805599453
2016,september,central america,central america,mexico,0,1,1.0,0,0,1,1,drowning,us-mexico border crossing,central america,mexico,drowning and related causes,mexico,27.1334908,-103.434484,0.6931471805599453
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,0,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.069017,-112.97895,0.6931471805599453
2016,september,mixed,mediterranean,unknown,18,0,18.0,0,0,0,0,drowning,central mediterranean,mixed,mixed/unknown,drowning and related causes,libya,32.0964258,23.9205167,2.9444389791664403
2016,september,latin america / caribbean (p),central america,unknown,1,0,1.0,0,0,1,0,drowning,us-mexico border crossing,latin america / caribbean,mixed/unknown,drowning and related causes,mexico,27.1334908,-103.434484,0.6931471805599453
2016,september,southern asia,mediterranean,"afghanistan,pakistan",7,20,27.0,3,0,0,0,drowning,eastern mediterranean,southern asia,mixed/unknown,drowning and related causes,inconclusive location,37.0319069,27.421418,3.332204510175204
2016,september,southern asia,southern asia,afghanistan,14,0,14.0,11,0,0,0,vehicle accident / death linked to hazardous transport,afghanistan to iran,southern asia,afghanistan,environmental conditions and accidents,iran,27.3791818,58.5375272,2.70805020110221
2016,september,latin america / caribbean (p),north america,unknown,1,0,1.0,0,1,0,0,mixed or unknown,us-mexico border crossing,latin america / caribbean,mixed/unknown,mixed or unknown,united states,32.78415,-112.473983,0.6931471805599453
2016,september,caribbean,south america,cuba,1,0,1.0,0,0,1,0,sickness / lack of access to adequate healthcare,darien,caribbean,cuba,health-related causes,colombia,7.7811194,-77.9325564,0.6931471805599453
2016,september,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,sickness / lack of access to adequate healthcare,sahara desert crossing,unknown,mixed/unknown,health-related causes,libya,27.0663171,14.3336145,0.6931471805599453
2016,september,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,violence,unknown,unknown,mixed/unknown,violence and related causes,libya,32.8872094,13.1913383,0.6931471805599453
2016,september,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,violence,sahara desert crossing,unknown,mixed/unknown,violence and related causes,libya,27.0663171,14.3336145,0.6931471805599453
2016,september,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,sickness / lack of access to adequate healthcare,unknown,unknown,mixed/unknown,health-related causes,libya,32.8872094,13.1913383,0.6931471805599453
2016,september,unknown,northern africa,unknown,5,0,5.0,0,0,0,0,vehicle accident / death linked to hazardous transport,sahara desert crossing,unknown,mixed/unknown,environmental conditions and accidents,libya,32.45167966,14.59161225,1.791759469228055
2016,september,unknown,northern africa,unknown,1,0,1.0,0,0,0,0,mixed or unknown,sahara desert crossing,unknown,mixed/unknown,mixed or unknown,libya,27.10446257,14.8239729875,0.6931471805599453
2016,october,eastern africa,eastern africa,ethiopia,7,0,7.0,37,0,0,0,vehicle accident / death linked to hazardous transport,unknown,eastern africa,ethiopia,environmental conditions and accidents,mozambique,-12.5944295,38.794922,2.0794415416798357
2016,october,central america,north america,mexico,1,0,1.0,0,0,1,0,"harsh environmental conditions / lack of adequate shelter, food, water",us-mexico border crossing,central america,mexico,environmental conditions and accidents,united states,28.74436816,-100.4689656749,0.6931471805599453
2016,october,unknown,mediterranean,unknown,10,0,10.0,0,0,0,0,mixed or unknown,central mediterranean,unknown,mixed/unknown,mixed or unknown,libya,32.7279874,15.0685373,2.3978952727983707
